Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,560,,300,,255,,12815975,,6354625,,6461350,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,1325,,610,,715,,15827040,,7635805,,8191235,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,1075,,480,,600,,13117190,,6299305,,6817890,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,920,,420,,500,,11519215,,5503640,,6015575,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,160,,60,,100,,1597975,,795655,,802315,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,250,,130,,120,,2709850,,1336505,,1373345,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,20,,10,,10,,349540,,189995,,159545,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,15,,10,,10,,298830,,109820,,189020,
Location of study compared with province or territory of residence with countries outside Canada,      India,,55,,25,,30,,281415,,142410,,138995,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,15,,0,,10,,232035,,131050,,100980,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,20,,15,,10,,205375,,94690,,110685,
Location of study compared with province or territory of residence with countries outside Canada,      France,,0,,0,,0,,88860,,50400,,38455,
Location of study compared with province or territory of residence with countries outside Canada,      Other,,125,,70,,55,,1253790,,618135,,635655,
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,157,1485,,730,,760,,18931380,,9268555,,9662830,
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,315,,185,,135,,6664380,,3447125,,3217250,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,1165,,545,,620,,12267005,,5821430,,6445575,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,935,,425,,505,,10134590,,4807045,,5327545,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,785,,370,,420,,8918160,,4207495,,4710665,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,145,,60,,90,,1216425,,599545,,616875,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,235,,120,,120,,2132415,,1014385,,1118030,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,20,,10,,10,,254245,,131955,,122290,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,15,,0,,10,,263095,,96025,,167065,
Location of study compared with province or territory of residence with countries outside Canada,      India,,50,,25,,25,,239535,,117445,,122090,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,10,,10,,10,,133655,,73575,,60085,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,20,,10,,10,,175825,,79635,,96190,
Location of study compared with province or territory of residence with countries outside Canada,      France,,0,,0,,0,,72920,,40610,,32310,
Location of study compared with province or territory of residence with countries outside Canada,      Other,,110,,60,,55,,993135,,475145,,517990,
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,163,1885,,910,,980,,28643020,,13990430,,14652585,
Labour force status,  In the labour force,,1450,,720,,730,,18672475,,9731830,,8940645,
Labour force status,    Employed,,1390,,685,,710,,17230040,,8923540,,8306490,
Labour force status,    Unemployed,,60,,35,,25,,1442435,,808285,,634150,
Labour force status,  Not in the labour force,,435,,190,,245,,9970545,,4258605,,5711945,
Labour force status,Participation rate,,76.9,,79.1,,74.5,,65.2,,69.6,,61,
Labour force status,Employment rate,,73.7,,75.3,,72.4,,60.2,,63.8,,56.7,
Labour force status,Unemployment rate,,4.1,,4.9,,3.4,,7.7,,8.3,,7.1,
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,164,1885,,910,,975,,28643020,,13990430,,14652580,
Work activity during the reference year,  Did not work,165,385,,170,,220,,9282005,,3930570,,5351440,
Work activity during the reference year,  Worked,,1500,,735,,765,,19361010,,10059865,,9301150,
Work activity during the reference year,    Worked full year; full time,166,960,,515,,445,,9626010,,5402110,,4223895,
Work activity during the reference year,    Worked part year and/or part time,167,535,,225,,315,,9735005,,4657755,,5077245,
Work activity during the reference year,Average weeks worked in reference year,,44.9,,45.8,,43.9,,42.4,,42.9,,42,
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,168,1455,,720,,730,,18672470,,9731825,,8940640,
Class of worker,  Class of worker - not applicable,169,20,,15,,10,,404350,,197705,,206640,
Class of worker,  All classes of workers,170,1435,,705,,725,,18268125,,9534120,,8734000,
Class of worker,    Employee,,1315,,650,,665,,16073685,,8158745,,7914940,
Class of worker,    Self-employed,171,115,,55,,60,,2194440,,1375380,,819060,
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,172,1450,,720,,735,,18672470,,9731830,,8940645,
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,169,15,,10,,10,,404350,,197710,,206640,
Occupation - National Occupational Classification (NOC) 2016,  All occupations,170,1435,,705,,725,,18268120,,9534120,,8734005,
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,,170,,95,,70,,2013370,,1251165,,762205,
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,,250,,70,,185,,2874305,,862870,,2011440,
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,,270,,225,,45,,1273660,,990560,,283105,
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,,140,,25,,115,,1245885,,244730,,1001155,
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,,140,,55,,85,,2138445,,672945,,1465495,
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,,25,,0,,15,,557275,,255705,,301570,
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,,340,,150,,190,,4265895,,1843510,,2422390,
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,,70,,65,,10,,2668875,,2504290,,164585,
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,,0,,0,,0,,416135,,331920,,84215,
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,,25,,10,,15,,814285,,576435,,237845,
Industry - North American Industry Classification System (NAICS) 2012,Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,173,1450,,720,,730,,18672475,,9731830,,8940640,
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,169,15,,15,,10,,404350,,197710,,206640,
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,170,1435,,710,,725,,18268125,,9534120,,8734000,
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,,10,,0,,10,,444680,,310000,,134675,
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,,0,,0,,0,,271300,,219880,,51420,
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,,0,,0,,0,,136350,,100135,,36210,
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,,35,,35,,0,,1365010,,1196550,,168455,
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,,85,,50,,30,,1596570,,1149745,,446820,
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,,65,,45,,20,,665685,,451230,,214455,
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,,140,,75,,65,,2110200,,984090,,1126115,
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,,10,,10,,0,,876050,,656375,,219670,
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,,25,,10,,15,,420350,,243650,,176705,
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,,80,,40,,45,,790580,,327865,,462715,
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,,40,,25,,20,,333305,,184350,,148955,
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,,205,,145,,60,,1335125,,740520,,594605,
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,,0,,0,,0,,28795,,12795,,16000,
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,,20,,0,,20,,802420,,462825,,339590,
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,,85,,35,,50,,1346585,,420845,,925735,
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,,160,,25,,135,,2138025,,383755,,1754270,
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,,10,,0,,0,,379740,,192875,,186865,
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,,110,,55,,55,,1283725,,535210,,748515,
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),,65,,20,,45,,814695,,371880,,442815,
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,,285,,120,,160,,1128945,,589530,,539405,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,174,1395,,685,,705,,17230035,,8923540,,8306495,
Place of work status,  Worked at home,,65,,20,,45,,1272285,,639500,,632785,
Place of work status,  Worked outside Canada,,15,,10,,10,,78815,,54235,,24580,
Place of work status,  No fixed workplace address,,80,,45,,45,,1987260,,1487445,,499820,
Place of work status,  Worked at usual place,,1230,,610,,620,,13891675,,6742360,,7149315,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,,1225,,615,,615,,13891680,,6742365,,7149315,
Commuting destination,  Commute within census subdivision (CSD) of residence,,1110,,555,,560,,8102115,,3723115,,4379005,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,0,,0,,0,,2906390,,1435640,,1470750,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,55,,35,,20,,2725205,,1492170,,1233030,
Commuting destination,  Commute to a different province or territory,,55,,25,,35,,157970,,91445,,66525,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,175,1310,,655,,660,,15878940,,8229810,,7649135,
Main mode of commuting,  Car; truck; van - as a driver,,1095,,570,,525,,11748095,,6380120,,5367975,
Main mode of commuting,  Car; truck; van - as a passenger,,70,,15,,50,,868920,,349855,,519065,
Main mode of commuting,  Public transit,,120,,45,,70,,1968215,,846735,,1121485,
Main mode of commuting,  Walked,,25,,15,,10,,877985,,392950,,485030,
Main mode of commuting,  Bicycle,,10,,10,,0,,222130,,146615,,75515,
Main mode of commuting,  Other method,,0,,0,,0,,193595,,113525,,80060,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,176,1315,,650,,660,,15878945,,8229810,,7649130,
Commuting duration,  Less than 15 minutes,,315,,165,,155,,4449920,,2071365,,2378555,
Commuting duration,  15 to 29 minutes,,385,,205,,185,,5314295,,2725165,,2589130,
Commuting duration,  30 to 44 minutes,,355,,185,,170,,3228845,,1782680,,1446165,
Commuting duration,  45 to 59 minutes,,150,,50,,100,,1391060,,768115,,622940,
Commuting duration,  60 minutes and over,,105,,50,,50,,1494830,,882485,,612345,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,177,1310,,655,,660,,15878940,,8229810,,7649135,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,40,,20,,25,,1073680,,781230,,292455,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,235,,90,,145,,2814750,,1754045,,1060710,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,305,,140,,160,,4458835,,2217210,,2241620,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,450,,250,,200,,3349975,,1408710,,1941265,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,165,,105,,65,,1756265,,752940,,1003325,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,120,,50,,65,,2425435,,1315670,,1109765,
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,178,1535,,760,,775,,19956255,,10342970,,9613285,
Language used most often at work,  Single responses,,1470,,745,,720,,19365980,,10042855,,9323130,
Language used most often at work,    Official languages,,1450,,730,,720,,19090545,,9897470,,9193075,
Language used most often at work,      English,,1405,,715,,690,,15265335,,7952010,,7313320,
Language used most often at work,      French,,45,,15,,35,,3825215,,1945465,,1879750,
Language used most often at work,    Non-official languages,,15,,20,,0,,275430,,145380,,130055,
Language used most often at work,      Aboriginal languages,,0,,0,,0,,24950,,12385,,12565,
Language used most often at work,        Algonquian languages,,0,,0,,0,,14440,,7370,,7070,
Language used most often at work,          Blackfoot,,0,,0,,0,,80,,45,,35,
Language used most often at work,          Cree-Montagnais languages,,0,,0,,0,,11540,,5820,,5720,
Language used most often at work,            Atikamekw,,0,,0,,0,,1095,,580,,515,
Language used most often at work,            Montagnais (Innu),,0,,0,,0,,2055,,970,,1085,
Language used most often at work,            Moose Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Naskapi,,0,,0,,0,,370,,180,,190,
Language used most often at work,            Northern East Cree,,0,,0,,0,,40,,25,,10,
Language used most often at work,            Plains Cree,,0,,0,,0,,95,,60,,35,
Language used most often at work,            Southern East Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Swampy Cree,,0,,0,,0,,15,,10,,0,
Language used most often at work,            Woods Cree,,0,,0,,0,,75,,35,,40,
Language used most often at work,            Cree; n.o.s.,,0,,0,,0,,7795,,3965,,3835,
Language used most often at work,          Eastern Algonquian languages,,0,,0,,0,,925,,510,,420,
Language used most often at work,            Malecite,,0,,0,,0,,10,,0,,10,
Language used most often at work,            Mi'kmaq,,0,,0,,0,,915,,505,,410,
Language used most often at work,          Ojibway-Potawatomi languages,,0,,0,,0,,1895,,995,,900,
Language used most often at work,            Algonquin,,0,,0,,0,,45,,20,,25,
Language used most often at work,            Ojibway,,0,,0,,0,,765,,380,,385,
Language used most often at work,            Oji-Cree,,0,,0,,0,,1080,,595,,485,
Language used most often at work,            Ottawa (Odawa),,0,,0,,0,,0,,10,,0,
Language used most often at work,          Algonquian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Athabaskan languages,,0,,0,,0,,1140,,530,,610,
Language used most often at work,          Northern Athabaskan languages,,0,,0,,0,,1135,,525,,610,
Language used most often at work,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Beaver,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Carrier,,0,,0,,0,,20,,0,,15,
Language used most often at work,            Chilcotin,,0,,0,,0,,20,,0,,10,
Language used most often at work,            Dene,,0,,0,,0,,770,,360,,405,
Language used most often at work,            Dogrib (Tlicho),,0,,0,,0,,165,,80,,80,
Language used most often at work,            Gwich'in,,0,,0,,0,,10,,10,,10,
Language used most often at work,            Sarsi (Sarcee),,0,,0,,0,,0,,10,,0,
Language used most often at work,            Sekani,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Slavey-Hare languages,,0,,0,,0,,135,,65,,70,
Language used most often at work,              North Slavey (Hare),,0,,0,,0,,95,,45,,45,
Language used most often at work,              South Slavey,,0,,0,,0,,35,,20,,20,
Language used most often at work,              Slavey; n.o.s.,,0,,0,,0,,10,,10,,0,
Language used most often at work,            Tahltan languages,,0,,0,,0,,10,,10,,10,
Language used most often at work,              Kaska (Nahani),,0,,0,,0,,10,,0,,0,
Language used most often at work,              Tahltan,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tutchone languages,,0,,0,,0,,0,,0,,10,
Language used most often at work,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Southern Tutchone,,0,,0,,0,,0,,0,,10,
Language used most often at work,          Athabaskan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Haida,,0,,0,,0,,10,,0,,10,
Language used most often at work,        Inuit languages,,0,,0,,0,,8845,,4255,,4595,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,35,,10,,25,
Language used most often at work,          Inuktitut,,0,,0,,0,,8800,,4240,,4555,
Language used most often at work,          Inuit languages; n.i.e.,,0,,0,,0,,15,,10,,10,
Language used most often at work,        Iroquoian languages,,0,,0,,0,,35,,10,,30,
Language used most often at work,          Cayuga,,0,,0,,0,,10,,0,,0,
Language used most often at work,          Mohawk,,0,,0,,0,,35,,10,,25,
Language used most often at work,          Oneida,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Kutenai,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Michif,,0,,0,,0,,10,,0,,0,
Language used most often at work,        Salish languages,,0,,0,,0,,110,,25,,85,
Language used most often at work,          Comox,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Halkomelem,,0,,0,,0,,15,,10,,10,
Language used most often at work,          Lillooet,,0,,0,,0,,15,,10,,10,
Language used most often at work,          Okanagan,,0,,0,,0,,20,,10,,20,
Language used most often at work,          Shuswap (Secwepemctsin),,0,,0,,0,,35,,0,,30,
Language used most often at work,          Squamish,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Straits,,0,,0,,0,,15,,0,,15,
Language used most often at work,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,10,
Language used most often at work,          Salish languages; n.i.e.,,0,,0,,0,,10,,0,,0,
Language used most often at work,        Siouan languages,,0,,0,,0,,260,,155,,105,
Language used most often at work,          Dakota,,0,,0,,0,,20,,10,,10,
Language used most often at work,          Stoney,,0,,0,,0,,240,,145,,95,
Language used most often at work,          Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tlingit,,0,,0,,0,,10,,10,,10,
Language used most often at work,        Tsimshian languages,,0,,0,,0,,25,,0,,20,
Language used most often at work,          Gitxsan (Gitksan),,0,,0,,0,,10,,10,,10,
Language used most often at work,          Nisga'a,,0,,0,,0,,10,,10,,0,
Language used most often at work,          Tsimshian,,0,,0,,0,,0,,0,,10,
Language used most often at work,        Wakashan languages,,0,,0,,0,,35,,15,,20,
Language used most often at work,          Haisla,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Kwakiutl (Kwak'wala),,0,,0,,0,,15,,10,,10,
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,,0,,0,,10,,10,,10,
Language used most often at work,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Aboriginal languages; n.o.s.,,0,,0,,0,,30,,15,,15,
Language used most often at work,      Non-Aboriginal languages,,20,,20,,0,,250485,,132990,,117490,
Language used most often at work,        Afro-Asiatic languages,,0,,0,,0,,7380,,4530,,2850,
Language used most often at work,          Berber languages,,0,,0,,0,,35,,10,,30,
Language used most often at work,            Kabyle,,0,,0,,0,,20,,0,,20,
Language used most often at work,            Berber languages; n.i.e.,,0,,0,,0,,15,,10,,15,
Language used most often at work,          Cushitic languages,,0,,0,,0,,275,,105,,170,
Language used most often at work,            Bilen,,0,,0,,0,,10,,10,,10,
Language used most often at work,            Oromo,,0,,0,,0,,45,,25,,20,
Language used most often at work,            Somali,,0,,0,,0,,220,,80,,145,
Language used most often at work,            Cushitic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Semitic languages,,0,,0,,0,,7065,,4420,,2650,
Language used most often at work,            Amharic,,0,,0,,0,,200,,95,,100,
Language used most often at work,            Arabic,,0,,0,,0,,5585,,3695,,1890,
Language used most often at work,            Assyrian Neo-Aramaic,,0,,0,,0,,205,,155,,55,
Language used most often at work,            Chaldean Neo-Aramaic,,0,,0,,0,,30,,20,,15,
Language used most often at work,            Harari,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Hebrew,,0,,0,,0,,825,,335,,490,
Language used most often at work,            Maltese,,0,,0,,0,,25,,15,,10,
Language used most often at work,            Tigrigna,,0,,0,,0,,135,,70,,60,
Language used most often at work,            Semitic languages; n.i.e.,,0,,0,,0,,65,,35,,30,
Language used most often at work,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,10,,0,,10,
Language used most often at work,        Austro-Asiatic languages,,0,,0,,0,,8550,,3790,,4760,
Language used most often at work,          Khmer (Cambodian),,0,,0,,0,,475,,230,,245,
Language used most often at work,          Vietnamese,,0,,0,,0,,8070,,3560,,4510,
Language used most often at work,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Austronesian languages,,0,,0,,0,,3850,,1750,,2095,
Language used most often at work,          Bikol,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cebuano,,0,,0,,0,,75,,20,,55,
Language used most often at work,          Fijian,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Hiligaynon,,0,,0,,0,,25,,0,,15,
Language used most often at work,          Ilocano,,0,,0,,0,,110,,50,,60,
Language used most often at work,          Malagasy,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malay,,0,,0,,0,,140,,75,,65,
Language used most often at work,          Pampangan (Kapampangan; Pampango),,0,,0,,0,,10,,0,,10,
Language used most often at work,          Pangasinan,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tagalog (Pilipino; Filipino),,0,,0,,0,,3450,,1580,,1875,
Language used most often at work,          Waray-Waray,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Austronesian languages; n.i.e.,,0,,0,,0,,40,,25,,15,
Language used most often at work,        Creole languages,,0,,0,,0,,350,,125,,225,
Language used most often at work,          Haitian Creole,,0,,0,,0,,25,,10,,15,
Language used most often at work,          Creole; n.o.s.,,0,,0,,0,,315,,110,,200,
Language used most often at work,          Creole languages; n.i.e.,,0,,0,,0,,15,,0,,10,
Language used most often at work,        Dravidian languages,,0,,0,,0,,2225,,1060,,1165,
Language used most often at work,          Kannada,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malayalam,,0,,0,,0,,90,,50,,45,
Language used most often at work,          Tamil,,0,,0,,0,,2090,,1005,,1080,
Language used most often at work,          Telugu,,0,,0,,0,,45,,10,,35,
Language used most often at work,          Dravidian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Hmong-Mien languages,,0,,0,,0,,10,,10,,0,
Language used most often at work,        Indo-European languages,,0,,0,,0,,85550,,47305,,38245,
Language used most often at work,          Albanian,,0,,0,,0,,350,,220,,125,
Language used most often at work,          Armenian,,0,,0,,0,,450,,220,,230,
Language used most often at work,          Balto-Slavic languages,,0,,0,,0,,10075,,4745,,5330,
Language used most often at work,            Baltic languages,,0,,0,,0,,95,,35,,60,
Language used most often at work,              Latvian,,0,,0,,0,,40,,10,,25,
Language used most often at work,              Lithuanian,,0,,0,,0,,60,,25,,30,
Language used most often at work,            Slavic languages,,0,,0,,0,,9980,,4710,,5270,
Language used most often at work,              Belarusan,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Bosnian,,0,,0,,0,,155,,90,,65,
Language used most often at work,              Bulgarian,,0,,0,,0,,205,,110,,90,
Language used most often at work,              Croatian,,0,,0,,0,,220,,130,,95,
Language used most often at work,              Czech,,0,,0,,0,,70,,40,,30,
Language used most often at work,              Macedonian,,0,,0,,0,,95,,45,,55,
Language used most often at work,              Polish,,0,,0,,0,,2500,,1265,,1235,
Language used most often at work,              Russian,,0,,0,,0,,4850,,2135,,2720,
Language used most often at work,              Serbian,,0,,0,,0,,530,,320,,210,
Language used most often at work,              Serbo-Croatian,,0,,0,,0,,30,,25,,0,
Language used most often at work,              Slovak,,0,,0,,0,,100,,60,,40,
Language used most often at work,              Slovene (Slovenian),,0,,0,,0,,15,,0,,10,
Language used most often at work,              Ukrainian,,0,,0,,0,,1210,,485,,725,
Language used most often at work,              Slavic languages; n.i.e.,,0,,0,,0,,10,,10,,0,
Language used most often at work,          Celtic languages,,0,,0,,0,,25,,20,,10,
Language used most often at work,            Scottish Gaelic,,0,,0,,0,,15,,15,,0,
Language used most often at work,            Welsh,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Celtic languages; n.i.e.,,0,,0,,0,,10,,10,,10,
Language used most often at work,          Germanic languages,,0,,0,,0,,13285,,7455,,5835,
Language used most often at work,            Afrikaans,,0,,0,,0,,85,,40,,40,
Language used most often at work,            Danish,,0,,0,,0,,90,,50,,35,
Language used most often at work,            Dutch,,0,,0,,0,,1165,,630,,540,
Language used most often at work,            Frisian,,0,,0,,0,,40,,25,,15,
Language used most often at work,            German,,0,,0,,0,,10065,,5715,,4345,
Language used most often at work,            Icelandic,,0,,0,,0,,0,,10,,0,
Language used most often at work,            Norwegian,,0,,0,,0,,65,,30,,40,
Language used most often at work,            Swedish,,0,,0,,0,,125,,55,,70,
Language used most often at work,            Vlaams (Flemish),,0,,0,,0,,35,,20,,15,
Language used most often at work,            Yiddish,,0,,0,,0,,895,,390,,505,
Language used most often at work,            Germanic languages; n.i.e.,,0,,0,,0,,720,,495,,225,
Language used most often at work,          Greek,,0,,0,,0,,1020,,545,,475,
Language used most often at work,          Indo-Iranian languages,,0,,0,,0,,37330,,21140,,16190,
Language used most often at work,            Indo-Aryan languages,,0,,0,,0,,32485,,18125,,14360,
Language used most often at work,              Bengali,,0,,0,,0,,530,,275,,245,
Language used most often at work,              Gujarati,,0,,0,,0,,880,,300,,585,
Language used most often at work,              Hindi,,0,,0,,0,,1405,,755,,650,
Language used most often at work,              Kashmiri,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Konkani,,0,,0,,0,,10,,0,,0,
Language used most often at work,              Marathi,,0,,0,,0,,30,,15,,15,
Language used most often at work,              Nepali,,0,,0,,0,,195,,95,,100,
Language used most often at work,              Oriya (Odia),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Punjabi (Panjabi),,0,,0,,0,,27870,,15945,,11920,
Language used most often at work,              Sindhi,,0,,0,,0,,35,,10,,30,
Language used most often at work,              Sinhala (Sinhalese),,0,,0,,0,,40,,25,,20,
Language used most often at work,              Urdu,,0,,0,,0,,1495,,705,,790,
Language used most often at work,            Iranian languages,,0,,0,,0,,4820,,3000,,1815,
Language used most often at work,              Kurdish,,0,,0,,0,,185,,150,,40,
Language used most often at work,              Pashto,,0,,0,,0,,50,,20,,25,
Language used most often at work,              Persian (Farsi),,0,,0,,0,,4580,,2830,,1750,
Language used most often at work,            Indo-Iranian languages; n.i.e.,,0,,0,,0,,20,,10,,15,
Language used most often at work,          Italic (Romance) languages,,0,,0,,0,,23025,,12965,,10060,
Language used most often at work,            Catalan,,0,,0,,0,,30,,10,,20,
Language used most often at work,            Italian,,0,,0,,0,,1705,,895,,805,
Language used most often at work,            Portuguese,,0,,0,,0,,7490,,4795,,2695,
Language used most often at work,            Romanian,,0,,0,,0,,745,,365,,380,
Language used most often at work,            Spanish,,0,,0,,0,,13030,,6885,,6145,
Language used most often at work,            Italic (Romance) languages; n.i.e.,,0,,0,,0,,25,,10,,10,
Language used most often at work,        Japanese,,0,,0,,0,,3255,,1195,,2065,
Language used most often at work,        Kartvelian languages,,0,,0,,0,,30,,10,,20,
Language used most often at work,          Georgian,,0,,0,,0,,30,,10,,20,
Language used most often at work,        Korean,,0,,0,,0,,12150,,6260,,5885,
Language used most often at work,        Mongolic languages,,0,,0,,0,,10,,10,,0,
Language used most often at work,          Mongolian,,0,,0,,0,,10,,0,,10,
